company,question,answer,ans_large_semantic,encoder_score_large_semantic,encoder_correct_large_semantic,fuzzy_score_large_semantic,fuzzy_correct_large_semantic,judge_correct_large_semantic,judge_reason_large_semantic,ans_large_bm25,encoder_score_large_bm25,encoder_correct_large_bm25,fuzzy_score_large_bm25,fuzzy_correct_large_bm25,judge_correct_large_bm25,judge_reason_large_bm25,ans_small_semantic,encoder_score_small_semantic,encoder_correct_small_semantic,fuzzy_score_small_semantic,fuzzy_correct_small_semantic,judge_correct_small_semantic,judge_reason_small_semantic,ans_small_bm25,encoder_score_small_bm25,encoder_correct_small_bm25,fuzzy_score_small_bm25,fuzzy_correct_small_bm25,judge_correct_small_bm25,judge_reason_small_bm25,ans_sentence_semantic,encoder_score_sentence_semantic,encoder_correct_sentence_semantic,fuzzy_score_sentence_semantic,fuzzy_correct_sentence_semantic,judge_correct_sentence_semantic,judge_reason_sentence_semantic,ans_sentence_bm25,encoder_score_sentence_bm25,encoder_correct_sentence_bm25,fuzzy_score_sentence_bm25,fuzzy_correct_sentence_bm25,judge_correct_sentence_bm25,judge_reason_sentence_bm25,ans_baseline,encoder_score_baseline,encoder_correct_baseline,fuzzy_score_baseline,fuzzy_correct_baseline,judge_correct_baseline,judge_reason_baseline
discord,How many days do you have to opt out of Discord's arbitration agreement?,30 days,You have 30 days to opt out of Discord's arbitration agreement.,0.5267226778126516,True,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that you have 30 days to opt out of Discord's arbitration agreement.","You have 30 days to opt out of Discord's arbitration agreement by emailing an opt-out notice to arbitration-opt-out@discord.com. This period begins either on September 29, 2025, or when you first register your Discord account, whichever is later.",0.38833379394268014,False,1.0,True,True,"The predicted answer correctly states that you have 30 days to opt out of Discord's arbitration agreement, which aligns with the gold answer.",You have 30 days to opt out of Discord's arbitration agreement.,0.526734156748981,True,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that you have 30 days to opt out of Discord's arbitration agreement.",You have 30 days to opt out of Discord's arbitration agreement after any changes are made to the agreement.,0.5267030229254329,True,1.0,True,True,"The predicted answer conveys the same substantive fact that you have 30 days to opt out of Discord's arbitration agreement, specifying the condition of changes to the agreement.",You have 30 days to opt out of Discord's arbitration agreement.,0.5267226778126516,True,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that you have 30 days to opt out of Discord's arbitration agreement.","You have 30 days to opt out of Discord's arbitration agreement by emailing an opt-out notice to arbitration-opt-out@discord.com. This period begins either on September 29, 2025, or when you first register your Discord account, whichever is later.",0.38833379394268014,False,1.0,True,True,"The predicted answer correctly states that you have 30 days to opt out of Discord's arbitration agreement, which aligns with the gold answer.",You have 30 days to opt out of Discord's arbitration agreement.,0.5267226778126516,True,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that you have 30 days to opt out of Discord's arbitration agreement."
discord,Does Discord sell your personal information to third parties?,No,"No, Discord does not sell your personal information to third parties. However, they may share information with related companies, disclose information during business transactions such as mergers or acquisitions, and allow third-party developers to build features within their services. These third-party services are required to have their own privacy policies, but Discord does not control them or the information they collect.",0.20708035241295952,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not sell personal information to third parties, while providing additional context about information sharing practices.","No, Discord does not sell your personal information to third parties. Their business is funded through subscriptions, paid products, and sponsored content, rather than by selling personal information.",0.24411094990969148,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not sell personal information to third parties, aligning with the gold answer.","Based on the provided documents, Discord does not explicitly state that it sells your personal information to third parties. However, it does mention that certain information may be disclosed to other users to facilitate transactions or improve their business, and that additional information may be required for payment processing. This suggests that while your information may be shared in specific contexts, it is not characterized as a sale of personal information.",0.15153147458608845,False,1.0,True,False,"The predicted answer suggests that information may be shared in specific contexts, which implies a possibility of selling or sharing personal information, contradicting the gold answer that states 'No'.","No, Discord does not sell your personal information to third parties. Their business is funded through subscriptions, paid products, and sponsored content, rather than by selling personal information.",0.24407269360551925,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not sell personal information to third parties, aligning with the gold answer.","No, Discord does not sell your personal information to third parties. However, they may disclose information in certain circumstances, such as during a merger or acquisition, or share aggregated or de-identified information that cannot reasonably be used to identify you. Additionally, while third-party developers can build features within Discord, they are required to have their own privacy policies and are responsible for how they handle user information.",0.20139524192768396,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not sell personal information, while providing additional context about information sharing in specific circumstances, which does not contradict the gold answer.","No, Discord does not sell your personal information to third parties. Their business is funded through subscriptions, paid products, and sponsored content, rather than by selling personal information.",0.24407269360551925,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, confirming that Discord does not sell personal information to third parties.","No, Discord does not sell your personal information to third parties.",0.2662422374817863,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, confirming that Discord does not sell personal information to third parties."
discord,What email do you use to opt out of Discord's arbitration clause?,arbitration-opt-out@discord.com,You can opt out of Discord's arbitration clause by emailing an opt-out notice to arbitration-opt-out@discord.com.,0.8197123743713516,True,1.0,True,True,"The predicted answer provides the same substantive information as the gold answer, including the correct email address for opting out of Discord's arbitration clause.",You can opt out of Discord's arbitration clause by emailing an opt-out notice to arbitration-opt-out@discord.com.,0.8197123743713516,True,1.0,True,True,"The predicted answer provides the same substantive information as the gold answer, specifying the email address for opting out of Discord's arbitration clause.",You can opt out of Discord's arbitration clause by emailing an opt-out notice to arbitration-opt-out@discord.com.,0.8197123743713516,True,1.0,True,True,"The predicted answer provides the same substantive information as the gold answer, specifying the email address for opting out of Discord's arbitration clause.",The email address to opt out of Discord's arbitration clause is not provided in the documents you shared. You would need to refer to the full terms of service or the specific section regarding the opt-out process for the correct email address.,0.7537529400643862,True,0.5483870967741935,False,False,"The predicted answer does not provide the specific email address to opt out of Discord's arbitration clause, which is a direct contradiction to the gold answer.",You can opt out of Discord's arbitration clause by emailing an opt-out notice to arbitration-opt-out@discord.com.,0.8197123743713516,True,1.0,True,True,The predicted answer conveys the same substantive fact as the gold answer by providing the correct email address for opting out of Discord's arbitration clause.,You can opt out of Discord's arbitration clause by emailing an opt-out notice to arbitration-opt-out@discord.com.,0.8197123743713516,True,1.0,True,True,"The predicted answer provides the same substantive information as the gold answer, specifying the email address to opt out of Discord's arbitration clause.","To opt out of Discord's arbitration clause, you need to send an email to arbitration-opt-out@discord.com.",0.8218932465762782,True,1.0,True,True,The predicted answer conveys the same substantive fact as the gold answer by providing the correct email address and the context for its use.
discord,Does Discord store the contents of video or voice calls?,No,"No, Discord generally does not store the contents of video or voice calls. However, they may retain the thumbnail cover image for a short period of time when you share your screen. If there were to be any changes to this policy in the future, Discord would disclose that to users in advance.",0.22592792995083696,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not store the contents of video or voice calls, aligning with the gold answer.","No, Discord generally does not store the contents of video or voice calls. However, if there were to be any changes to this policy in the future, such as storing content for content moderation purposes, Discord would disclose that information in advance.",0.2245287355388173,False,1.0,True,True,"The predicted answer conveys the same substantive fact that Discord does not store the contents of video or voice calls, while also providing additional context about potential future changes.","No, Discord generally does not store the contents of video or voice calls.",0.282887180718999,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that Discord does not store the contents of video or voice calls.","No, Discord generally does not store the contents of video or voice calls.",0.28284441448616926,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that Discord does not store the contents of video or voice calls.","No, Discord generally does not store the contents of video or voice calls. However, they may retain the thumbnail cover image for a short period of time when you share your screen. If there were to be any changes to this policy in the future, Discord would disclose that information in advance.",0.2243236699112125,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not store the contents of video or voice calls, aligning with the gold answer.","No, Discord generally does not store the contents of video or voice calls. However, they may retain the thumbnail cover image for a short period of time when you share your screen. If there were to be any changes to this policy in the future, Discord would disclose that information in advance.",0.22426621496792948,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not store the contents of video or voice calls, aligning with the gold answer.","Discord does not store the contents of video or voice calls. According to their Terms of Service and Privacy Policy, voice and video calls are transmitted in real-time and are not recorded or stored by Discord.",0.14411719637143042,False,1.0,True,True,"The predicted answer accurately conveys that Discord does not store the contents of video or voice calls, aligning with the gold answer."
discord,What city is Discord Inc. headquartered in?,San Francisco,"Discord Inc. is headquartered in San Francisco, CA, USA.",0.3746261331686528,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, providing the same information about the location of Discord Inc.'s headquarters.","Discord Inc. is headquartered in San Francisco, CA.",0.4105694241220112,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer by stating that Discord Inc. is headquartered in San Francisco, CA.","Discord Inc. is headquartered in San Francisco, CA.",0.4105694241220112,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that Discord Inc. is headquartered in San Francisco.","Discord Inc. is headquartered in San Francisco, CA.",0.4105694241220112,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that Discord Inc. is headquartered in San Francisco.","Discord Inc. is headquartered in San Francisco, CA.",0.4105694241220112,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that Discord Inc. is headquartered in San Francisco.","Discord Inc. is headquartered in San Francisco, CA.",0.4105694241220112,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that Discord Inc. is headquartered in San Francisco.","Discord Inc. is headquartered in San Francisco, California.",0.41883611431557244,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer, providing the correct city of headquarters for Discord Inc."
twitter_x,What is the maximum amount X will pay in damages in a lawsuit?,100 USD or the amount you paid in the past six months whichever is greater,The maximum amount that X will pay in damages in a lawsuit is the greater of one hundred U.S. dollars (U.S. $100.00) or the amount you paid X in the past six months for the services giving rise to the claim.,0.5203703643585594,True,0.7837837837837838,False,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that the maximum amount X will pay in damages is the greater of $100 or the amount paid in the past six months.",The maximum amount that X will pay in damages in a lawsuit is the greater of one hundred U.S. dollars (U.S. $100.00) or the amount you paid X in the past six months for the services giving rise to the claim.,0.5203780782881414,True,0.7837837837837838,False,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that the maximum amount X will pay in damages is the greater of $100 or the amount paid in the past six months.",The maximum amount X will pay in damages in a lawsuit is the greater of one hundred U.S. dollars (U.S. $100.00) or the amount you paid X in the past six months for the services giving rise to the claim.,0.526146902324868,True,0.7837837837837838,False,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that the maximum amount is the greater of $100 or the amount paid in the past six months.",The maximum amount X will pay in damages in a lawsuit is the greater of one hundred U.S. dollars (U.S. $100.00) or the amount you paid X in the past six months for the services giving rise to the claim.,0.5261487981066039,True,0.7837837837837838,False,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that the maximum amount X will pay in damages is the greater of $100 or the amount paid in the past six months.","The maximum amount that the X Entities will pay in damages in a lawsuit is the greater of one hundred U.S. dollars (U.S. $100.00) or the amount you paid them, if any, in the past six months for the services giving rise to the claim.",0.4741706649075655,False,0.7297297297297297,False,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that the maximum amount is either 100 USD or the amount paid in the past six months, whichever is greater.","The maximum amount that X will pay in damages in a lawsuit is the greater of one hundred U.S. dollars (U.S. $100.00) or the amount you paid X, if any, in the past six months for the services giving rise to the claim.",0.518848128607116,True,0.7432432432432432,False,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that the maximum amount is the greater of $100 or the amount paid in the past six months.","I'm sorry, but I don't have access to the specific details of Twitter's (now X's) Terms of Service or Privacy Policy, including the maximum amount they will pay in damages in a lawsuit. You may want to refer directly to their official documents for that information.",0.250974226489041,False,0.472972972972973,False,False,"The predicted answer does not provide the specific maximum amount X will pay in damages, which is clearly stated in the gold answer. Instead, it suggests referring to official documents, making it vague and not equivalent to the gold answer."
twitter_x,What US state's laws govern X's Terms of Service?,Texas,X's Terms of Service are governed by the laws of the State of Texas.,0.3699628850285708,False,1.0,True,True,The predicted answer conveys the same substantive fact as the gold answer by stating that the laws of the State of Texas govern X's Terms of Service.,The laws of the State of Texas govern X's Terms of Service.,0.385010309075403,False,1.0,True,True,The predicted answer conveys the same substantive fact as the gold answer by stating that Texas laws govern X's Terms of Service.,The laws of the State of California govern X's Terms of Service.,0.20758395676155286,False,0.6,False,False,"The predicted answer states that California's laws govern the Terms of Service, which contradicts the gold answer that specifies Texas.",The laws of the State of Texas govern X's Terms of Service.,0.385010309075403,False,1.0,True,True,"The predicted answer conveys the same substantive fact as the gold answer by stating that Texas laws govern X's Terms of Service, albeit in a more detailed manner.","The laws of the State of Texas govern X's Terms of Service, excluding choice of law provisions.",0.36562689052804676,False,1.0,True,True,"The predicted answer correctly states that Texas laws govern X's Terms of Service, which is the same substantive fact as the gold answer.","The documents provided do not specify which US state's laws govern X's Terms of Service. For such details, it is typically found in the ""Governing Law"" section of the Terms of Service, which is not included in the excerpts you provided. You may need to refer to the full Terms of Service document for that specific information.",0.23951833268462647,False,0.6,False,False,"The predicted answer does not provide the specific state (Texas) mentioned in the gold answer and instead states that the information is not available, which contradicts the gold answer.",X's Terms of Service are governed by the laws of the State of California.,0.2166918857117432,False,0.6,False,False,"The predicted answer states that California governs the Terms of Service, which contradicts the gold answer that specifies Texas."
twitter_x,How many posts can you access in 24 hours before X charges liquidated damages?,1000000,"You can access up to 1,000,000 posts in a 24-hour period before X charges liquidated damages.",0.34956287016710025,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating the same limit of 1,000,000 posts in a 24-hour period.","You can access up to 1,000,000 posts in a 24-hour period before X charges liquidated damages. If you exceed this limit, you will be liable for liquidated damages of €15,000 EUR (or $15,000 USD) per additional 1,000,000 posts accessed.",0.339035234476211,False,0.8571428571428572,True,True,"The predicted answer accurately conveys the same substantive fact as the gold answer regarding the limit of 1,000,000 posts in a 24-hour period.","You can access up to 1,000,000 posts in a 24-hour period before X charges liquidated damages. Accessing more than this amount will result in liquidated damages.",0.35512051495946884,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer, stating that the limit is 1,000,000 posts in a 24-hour period before incurring liquidated damages.","You can access up to 1,000,000 posts in a 24-hour period before X charges liquidated damages. Accessing more than 1,000,000 posts will result in a charge of $15,000 USD or €15,000 EUR per additional 1,000,000 posts.",0.3615006562159636,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact about the limit of 1,000,000 posts in a 24-hour period before incurring charges, even though it includes additional details.","You can access up to 1,000,000 posts in a 24-hour period before X charges liquidated damages. Accessing more than this amount will result in liquidated damages of €15,000 EUR (or $15,000 USD) per additional 1,000,000 posts.",0.34920852413891784,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact about the access limit of 1,000,000 posts in 24 hours before incurring liquidated damages, even though it includes additional details.","You can access up to 1,000,000 posts in a 24-hour period before X charges liquidated damages. Accessing more than this amount will result in liquidated damages of $15,000 USD per additional 1,000,000 posts.",0.355789854485614,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer regarding the limit of 1,000,000 posts in a 24-hour period before incurring liquidated damages.","I'm sorry, but I don't have access to the specific details of Twitter's (now X's) Terms of Service or Privacy Policy, including information about the number of posts you can access in 24 hours before incurring liquidated damages. You may want to check their official documentation or website for the most accurate and up-to-date information.",0.16950568377387326,False,0.0,False,False,"The predicted answer does not provide the specific number of posts (1,000,000) and instead states a lack of access to the information, which contradicts the gold answer."
twitter_x,How long do you have to initiate a federal claim against X?,1 year,You must initiate any proceeding or action asserting a federal claim against X within one (1) year of the date of the occurrence of the event or facts giving rise to the dispute.,0.3543413482434049,False,0.8333333333333335,True,True,The predicted answer conveys the same substantive fact as the gold answer by stating that the claim must be initiated within one year of the relevant event.,You must initiate any proceeding or action asserting a federal claim against X within one (1) year of the date of the occurrence of the event or facts giving rise to the dispute.,0.3543822110810479,False,0.8333333333333335,True,True,"The predicted answer accurately conveys that the time limit to initiate a federal claim against X is one year, consistent with the gold answer.",You have one (1) year to initiate a federal claim against X from the date of the occurrence of the event or facts giving rise to the dispute.,0.46270278764590483,False,0.8333333333333335,True,True,"The predicted answer conveys the same substantive fact as the gold answer by stating that you have one year to initiate a federal claim against X, which aligns with the gold answer's information.",You have one (1) year to initiate any proceeding or action asserting a federal claim against X from the date of the occurrence of the event or facts giving rise to the dispute.,0.4554417842195111,False,0.8333333333333335,True,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that you have one year to initiate a federal claim against X.",You must initiate any proceeding or action asserting a federal claim against X within one (1) year of the date of the occurrence of the event or facts giving rise to the dispute.,0.3543771486724501,False,0.8333333333333335,True,True,"The predicted answer accurately conveys that the time limit to initiate a federal claim against X is one year, consistent with the gold answer.",You must initiate any proceeding or action asserting a federal claim against X within one (1) year of the date of the occurrence of the event or facts giving rise to the dispute.,0.3543847868117203,False,0.8333333333333335,True,True,"The predicted answer accurately conveys that the time limit to initiate a federal claim against X is one year, consistent with the gold answer.","I'm sorry, but I don't have access to the specific details of Twitter's (now X's) Terms of Service or Privacy Policy, including the time frame for initiating a federal claim. You may want to refer directly to those documents or consult legal resources for accurate information.",0.15816668180880553,False,0.5,False,False,"The predicted answer does not provide the specific time frame of 1 year to initiate a federal claim, which is the key information in the gold answer."
twitter_x,How long do you have to initiate a state law claim against X?,2 years,You must initiate any proceeding or action asserting a state law claim against X within two (2) years of the date of the occurrence of the event or facts giving rise to the dispute.,0.3678869809734512,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer, specifying that the time limit to initiate a state law claim against X is two years from the relevant event.",You must initiate any proceeding or action asserting a state law claim against X within two (2) years of the date of the occurrence of the event or facts giving rise to the dispute.,0.3678869809734512,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer, specifying that the time limit to initiate a state law claim is two years.",You have two (2) years to initiate a state law claim against X from the date of the occurrence of the event or facts giving rise to the dispute.,0.46313581560089245,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer by stating that you have two years to initiate a claim, which aligns with the gold answer's information.",You have two (2) years to initiate a state law claim against X from the date of the occurrence of the event or facts giving rise to the dispute.,0.46313581560089245,False,0.8571428571428572,True,True,"The predicted answer accurately conveys the same substantive fact as the gold answer, stating that there is a 2-year period to initiate a claim.",You have two (2) years to initiate any proceeding or action asserting a state law claim against X from the date of the occurrence of the event or facts giving rise to the dispute.,0.4674184911409814,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer by stating that you have two years to initiate a claim, which aligns with the gold answer's information.",You have two (2) years to initiate any proceeding or action asserting a state law claim against X from the date of the occurrence of the event or facts giving rise to the dispute.,0.467437340338306,False,0.8571428571428572,True,True,"The predicted answer conveys the same substantive fact as the gold answer by stating that you have two years to initiate a claim, which aligns with the gold answer's information.","I'm sorry, but I don't have access to the specific details of Twitter's (now X's) Terms of Service or Privacy Policy. You may need to refer directly to those documents or consult legal resources for accurate information regarding the time frame for initiating a state law claim against X.",0.159385414093233,False,0.5714285714285714,False,False,"The predicted answer does not provide the specific time frame of 2 years for initiating a state law claim against X, making it incorrect."
